id_cliente,nome,email,cpf,cidade
1,Brenda Alves,samuel32@example.net,189.430.652-05,São Paulo
2,Thiago Pereira,novaismiguel@example.net,863.742.091-50,Rio de Janeiro
3,Dr. Eduardo Cunha,gustavo16@example.org,594.603.817-66,Porto Alegre
4,Laís Pires,matheus10@example.net,341.670.952-70,Curitiba
5,Maria Clara Castro,daniela34@example.net,123.975.840-50,Curitiba
6,Lunna Vargas,da-conceicaobenicio@example.com,641.782.953-73,Belo Horizonte
7,Natália Casa Grande,joao-lucas38@example.net,468.215.307-26,São Paulo
8,Eduardo Pires,laviniapeixoto@example.org,697.428.053-00,Fortaleza
9,Zoe Sá,carolina14@example.com,270.569.148-02,São Paulo
10,Letícia Porto,leandrofreitas@example.org,890.423.761-04,Manaus
11,Isaque Araújo,emanuelbarros@example.net,712.853.649-37,Recife
12,Vitor Hugo Sá,ana-liviaguerra@example.net,578.019.643-57,Rio de Janeiro
13,Heloísa Pastor,anthony-gabrielbarbosa@example.net,031.926.785-77,Rio de Janeiro
14,Vitor Hugo Cardoso,yda-cruz@example.com,631.058.274-71,São Paulo
15,Ana Júlia Rocha,araujoisis@example.net,513.864.709-10,Curitiba
16,João Lucas Martins,dommacedo@example.net,108.795.342-14,Curitiba
17,Murilo Araújo,gabriellyabreu@example.com,479.358.602-38,Fortaleza
18,Henrique Araújo,souzaana-sophia@example.org,072.946.158-02,Manaus
19,Isabela Guerra,nunesthales@example.net,901.354.278-60,Rio de Janeiro
20,Luara da Costa,isabela24@example.com,510.349.762-06,Fortaleza
21,Julia Cardoso,davi-miguel35@example.com,274.856.091-49,Curitiba
22,Bella Carvalho,igor18@example.org,493.521.678-64,Fortaleza
23,Benjamim Borges,cda-mota@example.org,524.193.780-32,Recife
24,Breno Sales,zoeandrade@example.com,982.310.754-88,Curitiba
25,Sr. Josué Rios,fogacajoana@example.net,239.618.045-24,Brasília
26,Isadora da Mata,henriquegarcia@example.org,738.692.405-47,Manaus
27,Gael Guerra,agatha14@example.com,865.092.143-42,Porto Alegre
28,Cauê Peixoto,uferreira@example.com,681.347.205-44,Rio de Janeiro
29,Vicente Nascimento,emanuellalopes@example.org,591.824.637-19,Belo Horizonte
30,Dr. Juan Novaes,matheusleao@example.net,624.370.815-26,Recife
